Feature,Coef_Home,Coef_Away
away_rolling_sot,0.1507751980773998,-0.03649940170443408
home_rolling_sot,0.10358308500939352,-0.017866717423273178
b365d,0.0944446261387338,0.1374744060168724
diff_goals,0.08423371939026716,-0.05060507420182495
b365a,0.04958434627344058,-0.10576879074518443
home_rolling_shots,0.00827626386603883,0.019330992340683077
away_rolling_shots,0.004876559734018383,0.0135905487993449
diff_shots,0.003399704132019926,0.0057404435413378405
diff_sot,-0.04719211306800608,0.01863268428116102
home_rolling_goals,-0.12110542372415195,-0.1836668608818732
b365h,-0.12625953808273604,0.07992676552344391
away_rolling_goals,-0.20533914311441903,-0.13306178668004826
