id,name,deadline_time,average_entry_score,highest_score,finished,is_current,is_next,transfers_made,ranked_count
1,Gameweek 1,2025-08-15 17:30:00+00:00,54,127.0,True,False,False,0,9469118
2,Gameweek 2,2025-08-22 17:30:00+00:00,51,140.0,True,False,False,18178809,10752422
3,Gameweek 3,2025-08-30 10:00:00+00:00,48,118.0,True,False,False,27802596,11304791
4,Gameweek 4,2025-09-13 10:00:00+00:00,63,139.0,True,False,False,27408255,11641518
5,Gameweek 5,2025-09-20 10:00:00+00:00,42,112.0,True,False,False,16533109,11803614
6,Gameweek 6,2025-09-27 10:00:00+00:00,46,124.0,True,False,False,22147208,11930431
7,Gameweek 7,2025-10-03 17:30:00+00:00,60,135.0,True,False,False,16350776,12032746
8,Gameweek 8,2025-10-18 10:00:00+00:00,56,138.0,True,False,False,16106510,12155114
9,Gameweek 9,2025-10-24 17:30:00+00:00,46,124.0,True,False,False,12369350,12213493
10,Gameweek 10,2025-11-01 13:30:00+00:00,65,135.0,True,False,False,14380415,12281789
11,Gameweek 11,2025-11-08 11:00:00+00:00,38,120.0,True,False,False,10882725,12338890
12,Gameweek 12,2025-11-22 11:00:00+00:00,39,134.0,True,False,False,13914718,12405243
13,Gameweek 13,2025-11-29 13:30:00+00:00,35,123.0,True,False,False,16415537,12444059
14,Gameweek 14,2025-12-02 18:00:00+00:00,58,138.0,True,False,False,9442288,12472152
15,Gameweek 15,2025-12-06 11:00:00+00:00,49,133.0,True,False,False,11765293,12502403
16,Gameweek 16,2025-12-13 13:30:00+00:00,60,149.0,True,False,False,24497356,12544438
17,Gameweek 17,2025-12-20 11:00:00+00:00,66,148.0,True,False,False,16356600,12584041
18,Gameweek 18,2025-12-26 18:30:00+00:00,44,118.0,True,False,False,16835174,12620812
19,Gameweek 19,2025-12-30 18:00:00+00:00,40,112.0,True,False,False,15084299,12646658
20,Gameweek 20,2026-01-03 11:00:00+00:00,42,117.0,True,False,False,10282852,12668861
21,Gameweek 21,2026-01-06 18:30:00+00:00,48,118.0,True,False,False,10609899,12691406
22,Gameweek 22,2026-01-17 11:00:00+00:00,40,111.0,True,False,False,12244354,12727093
23,Gameweek 23,2026-01-24 11:00:00+00:00,44,115.0,True,False,False,8986548,12748731
24,Gameweek 24,2026-01-31 13:30:00+00:00,55,126.0,True,False,False,14084799,12773603
25,Gameweek 25,2026-02-06 18:30:00+00:00,58,147.0,True,False,False,10565045,12799155
26,Gameweek 26,2026-02-10 18:00:00+00:00,58,138.0,True,False,False,10933870,12819444
27,Gameweek 27,2026-02-21 13:30:00+00:00,45,117.0,True,False,False,8668376,12846334
28,Gameweek 28,2026-02-27 18:30:00+00:00,53,125.0,True,False,False,8235195,12862786
29,Gameweek 29,2026-03-03 18:00:00+00:00,54,143.0,True,True,False,8012299,12878906
30,Gameweek 30,2026-03-14 13:30:00+00:00,0,,False,False,True,0,0
31,Gameweek 31,2026-03-20 18:30:00+00:00,0,,False,False,False,0,0
32,Gameweek 32,2026-04-10 17:30:00+00:00,0,,False,False,False,0,0
33,Gameweek 33,2026-04-18 10:00:00+00:00,0,,False,False,False,0,0
34,Gameweek 34,2026-04-24 17:30:00+00:00,0,,False,False,False,0,0
35,Gameweek 35,2026-05-02 12:30:00+00:00,0,,False,False,False,0,0
36,Gameweek 36,2026-05-09 12:30:00+00:00,0,,False,False,False,0,0
37,Gameweek 37,2026-05-17 12:30:00+00:00,0,,False,False,False,0,0
38,Gameweek 38,2026-05-24 13:30:00+00:00,0,,False,False,False,0,0
